@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 {0,1,2,3}

@data
376,'2020/04/27 08:48:53:228',7,-6.475878,0.120169,1.140658,1.830292,3
377,'2020/04/27 08:48:53:445',7,-3.257903,-0.147029,-6.442111,-1.087314,3
378,'2020/04/27 08:48:53:666',7,-3.240268,-2.251735,4.829369,-0.268185,3
379,'2020/04/27 08:48:53:890',7,19.30537,3.098758,-8.129195,-1.920892,3
380,'2020/04/27 08:48:54:122',7,-7.685327,-0.023626,15.064089,3.562668,3
381,'2020/04/27 08:48:54:434',7,-5.033876,-1.57742,-8.405096,-1.367463,3
382,'2020/04/27 08:48:54:666',7,-4.100266,1.425629,-3.133937,-0.774439,3
383,'2020/04/27 08:48:54:944',7,13.907713,-0.804973,7.542155,0.835553,3
384,'2020/04/27 08:48:55:242',7,-13.132653,-1.056047,-5.763957,0.362397,3
385,'2020/04/27 08:48:55:744',7,-5.062571,-0.567947,-7.308424,-0.772015,3
386,'2020/04/27 08:48:55:810',7,30.061884,3.418727,16.817383,-1.316352,3
387,'2020/04/27 08:48:55:919',7,-23.870468,-1.143466,-6.914933,-0.88367,3
388,'2020/04/27 08:48:56:179',7,-10.939603,-3.420001,-7.95559,5.179206,3
389,'2020/04/27 08:48:56:433',7,11.879625,4.159289,12.996837,-3.170108,3
390,'2020/04/27 08:48:56:631',7,19.795853,0.003589,-3.271426,0.072723,3
391,'2020/04/27 08:48:56:852',7,-19.269594,-1.24714,-9.348246,-0.953955,3
392,'2020/04/27 08:48:57:088',7,-10.837999,-3.203251,8.13437,2.04062,3
393,'2020/04/27 08:48:57:382',7,13.984949,3.328552,-0.144711,-0.784735,3
394,'2020/04/27 08:48:57:634',7,17.455595,1.175428,1.457203,-1.560532,3
395,'2020/04/27 08:48:57:863',7,-19.369595,-0.232542,-6.313663,0.491218,3
396,'2020/04/27 08:48:58:091',7,-4.267803,-1.385262,7.887393,3.190037,3
397,'2020/04/27 08:48:58:308',7,-5.756904,-2.366879,-6.586052,-2.154591,3
398,'2020/04/27 08:48:58:501',7,30.214642,3.281439,2.040715,-0.183499,3
399,'2020/04/27 08:48:58:738',7,-27.048716,0.360467,-6.91287,-1.503339,3
400,'2020/04/27 08:48:58:925',7,0.253769,-2.900387,16.533905,3.070833,3
401,'2020/04/27 08:48:59:312',7,10.637606,3.66493,-15.235615,-1.533008,3
402,'2020/04/27 08:48:59:558',7,9.868814,-2.620693,5.00262,0.158769,3
403,'2020/04/27 08:48:59:882',7,-18.161934,1.192053,2.765505,0.297948,3
404,'2020/04/27 08:49:00:127',7,2.353726,1.778517,-3.785201,-0.699076,3
405,'2020/04/27 08:49:00:348',7,12.169581,-4.087307,3.588494,0.198642,3
406,'2020/04/27 08:49:00:550',7,-10.929607,1.459343,-1.724155,-3.517129,3
407,'2020/04/27 08:49:00:806',7,-14.784801,-2.758884,-1.781926,7.017587,3
408,'2020/04/27 08:49:01:120',7,19.084715,3.667315,1.941438,-3.102633,3
409,'2020/04/27 08:49:01:329',7,4.434616,1.867765,-3.276785,-1.121275,3
410,'2020/04/27 08:49:01:632',7,1.155289,-3.430961,3.908597,-1.361365,3
411,'2020/04/27 08:49:01:809',7,-24.856781,-0.68668,-1.442387,4.598253,3
412,'2020/04/27 08:49:02:034',7,14.429906,1.193365,1.470248,-1.977607,3
413,'2020/04/27 08:49:02:216',7,20.077835,4.280578,1.672176,-1.091158,3
414,'2020/04/27 08:49:02:447',7,-13.369781,-2.405417,-4.996752,0.32896,3
415,'2020/04/27 08:49:02:667',7,-4.762403,-2.104197,5.496758,0.142838,3
416,'2020/04/27 08:49:02:923',7,-17.017694,-5.33775,-7.008158,1.122757,3
417,'2020/04/27 08:49:03:230',7,32.383743,11.80725,3.326239,-3.556154,3
418,'2020/04/27 08:49:03:478',7,-10.47757,-7.201402,3.067095,5.030209,3
419,'2020/04/27 08:49:04:024',7,-21.745874,-0.299082,-4.547262,-2.453171,3
420,'2020/04/27 08:49:04:339',7,32.663868,5.049652,6.135392,-0.371489,3
421,'2020/04/27 08:49:04:530',7,-15.165421,-3.254455,-4.196295,0.376352,3
422,'2020/04/27 08:49:04:712',7,-14.200063,-1.61927,-3.110666,0.190353,3
423,'2020/04/27 08:49:04:748',7,15.36179,0.691079,1.632455,0.108568,3
424,'2020/04/27 08:49:04:979',7,5.315861,4.091977,0.842903,-2.651212,3
425,'2020/04/27 08:49:05:250',7,3.94305,-4.327119,1.919168,3.564567,3
426,'2020/04/27 08:49:05:530',7,-24.805517,-0.395432,-0.184539,-0.684395,3
427,'2020/04/27 08:49:05:727',7,4.053687,0.367653,-1.120806,0.153119,3
428,'2020/04/27 08:49:06:002',7,17.38279,3.962546,-4.938935,-0.261995,3
429,'2020/04/27 08:49:06:177',7,8.190869,-2.465598,10.711316,-1.251655,3
430,'2020/04/27 08:49:06:493',7,-15.632923,0.093926,-6.658901,-1.835695,3
431,'2020/04/27 08:49:08:926',7,-15.103208,-2.579121,3.385566,5.581121,3
432,'2020/04/27 08:49:09:148',7,30.772526,7.222551,-5.208983,-2.914951,3
433,'2020/04/27 08:49:09:447',7,-15.262951,-8.445995,4.354898,0.158167,3
434,'2020/04/27 08:49:09:667',7,-16.4729,3.13556,-5.244144,0.211347,3
435,'2020/04/27 08:49:09:881',7,13.921968,0.445478,-4.41039,-3.017082,3
436,'2020/04/27 08:49:10:086',7,20.607634,0.530466,18.676702,4.635703,3
437,'2020/04/27 08:49:10:327',7,-18.561945,-0.539412,-7.655464,-1.564284,3
438,'2020/04/27 08:49:10:515',7,-15.23961,-4.102389,-6.377317,-1.939292,3
439,'2020/04/27 08:49:10:689',7,17.387003,5.087001,2.060152,2.90166,3
440,'2020/04/27 08:49:10:882',7,13.554712,1.474225,2.044689,-2.029181,3
441,'2020/04/27 08:49:11:147',7,-14.799846,-1.442602,2.264113,2.479152,3
442,'2020/04/27 08:49:11:325',7,-0.72539,-2.489525,-3.631941,-3.726608,3
443,'2020/04/27 08:49:11:588',7,0.958583,0.601592,0.64193,2.415475,3
444,'2020/04/27 08:49:11:725',7,-13.07087,-1.105313,-0.939901,-0.309232,3
